iter	Passed	Remaining
781	1859	518
782	1862	516
783	1864	513
784	1867	511
785	1869	509
786	1872	506
787	1874	504
788	1877	501
789	1879	499
790	1881	497
791	1884	494
792	1887	492
793	1889	490
794	1892	487
795	1894	485
796	1897	483
797	1899	480
798	1901	478
799	1904	476
800	1906	473
801	1909	471
802	1911	468
803	1913	466
804	1916	464
805	1918	461
806	1921	459
807	1923	457
808	1925	454
809	1928	452
810	1930	449
811	1933	447
812	1935	445
813	1938	442
814	1940	440
815	1942	438
816	1945	435
817	1947	433
818	1949	430
819	1952	428
820	1954	426
821	1957	423
822	1959	421
823	1962	419
824	1964	416
825	1966	414
826	1969	411
827	1971	409
828	1974	407
829	1976	404
830	1979	402
831	1982	400
832	1985	398
833	1987	395
834	1990	393
835	1992	390
836	1995	388
837	1997	386
838	2000	383
839	2002	381
840	2005	379
841	2007	376
842	2010	374
843	2012	372
844	2015	369
845	2017	367
846	2020	364
847	2022	362
848	2024	360
849	2027	357
850	2029	355
851	2032	352
852	2034	350
853	2036	348
854	2039	345
855	2041	343
856	2043	341
857	2046	338
858	2048	336
859	2051	333
860	2054	331
861	2056	329
862	2059	326
863	2061	324
864	2064	322
865	2067	319
866	2069	317
867	2071	315
868	2074	312
869	2076	310
870	2078	307
871	2081	305
872	2083	303
873	2086	300
874	2088	298
875	2091	296
876	2093	293
877	2096	291
878	2098	288
879	2101	286
880	2103	284
881	2106	281
882	2108	279
883	2110	276
884	2113	274
885	2115	272
886	2117	269
887	2120	267
888	2122	265
889	2124	262
890	2127	260
891	2129	257
892	2132	255
893	2134	253
894	2136	250
895	2139	248
896	2141	245
897	2143	243
898	2146	241
899	2148	238
900	2150	236
901	2153	233
902	2155	231
903	2157	229
904	2160	226
905	2162	224
906	2165	222
907	2167	219
908	2170	217
909	2172	214
910	2174	212
911	2178	210
912	2181	207
913	2183	205
914	2186	203
915	2188	200
916	2191	198
917	2193	195
918	2195	193
919	2198	191
920	2201	188
921	2203	186
922	2205	184
923	2208	181
924	2210	179
925	2212	176
926	2214	174
927	2217	172
928	2219	169
929	2222	167
930	2224	164
931	2227	162
932	2229	160
933	2231	157
934	2234	155
935	2236	152
936	2238	150
937	2241	148
938	2243	145
939	2245	143
940	2247	140
941	2250	138
942	2252	136
943	2254	133
944	2256	131
945	2258	128
946	2261	126
947	2263	124
948	2265	121
949	2268	119
950	2270	116
951	2272	114
952	2274	112
953	2277	109
954	2279	107
955	2282	105
956	2284	102
957	2286	100
958	2288	97
959	2290	95
960	2293	93
961	2295	90
962	2297	88
963	2299	85
964	2301	83
965	2304	81
966	2306	78
967	2308	76
968	2310	73
969	2313	71
970	2315	69
971	2317	66
972	2320	64
973	2322	62
974	2325	59
975	2327	57
976	2329	54
977	2332	52
978	2334	50
979	2336	47
980	2338	45
981	2340	42
982	2343	40
983	2345	38
984	2347	35
985	2350	33
986	2352	30
987	2354	28
988	2357	26
989	2359	23
990	2361	21
991	2363	19
992	2366	16
993	2368	14
994	2370	11
995	2373	9
996	2377	7
997	2380	4
998	2382	2
999	2385	0
